"slug","photo","md_exists","image_exists","notes"
"yodare-dori","yodare-dori.jpg","True","True",""
"aburame-shioyaki","aburame-shioyaki.jpg","True","True",""
"bat-tomato-omurice","bat-tomato-omurice.jpg","True","True",""
"beef-100-demi-hamburg","beef-100-demi-hamburg.jpg","True","True",""
"butter-seafood-pasta","butter-seafood-pasta.jpg","True","True",""
"cold-wakame-chinese","cold-wakame-chinese.jpg","True","True",""
"demi-meat-pasta","demi-meat-pasta.jpg","True","True",""
"demi-omurice","demi-omurice.jpg","True","True",""
"hirame-zukedon","hirame-zukedon.jpg","True","True",""
"karei-miso-foil","karei-miso-foil.jpg","True","True",""
"karei-nitsuke","karei-nitsuke.jpg","True","True",""
"kenojiru-takikomi","kenojiru-takikomi.jpg","True","True",""
"liver-nira","liver-nira.jpg","True","True",""
"madai-curry-foil","madai-curry-foil.jpg","True","True",""
"mapo-ramen","mapo-ramen.jpg","True","True",""
"mebaru-nitsuke","mebaru-nitsuke.jpg","True","True",""
"mune-chicken-curry","mune-chicken-curry.jpg","True","True",""
"mune-oyakodon","mune-oyakodon.jpg","True","True",""
"mune-soboro-don","mune-soboro-don.jpg","True","True",""
"oatmeal-apple-crumble","oatmeal-apple-crumble.jpg","True","True",""
"salt-sutadon","salt-sutadon.jpg","True","True",""
"seafood-ankake-don","seafood-ankake-don.jpg","True","True",""
"seafood-mushroom-curry","seafood-mushroom-curry.jpg","True","True",""
"spicy-mapodofu","spicy-mapodofu.jpg","True","True",""
"spicy-mune-tomato","spicy-mune-tomato.jpg","True","True",""
"taimeshi","taimeshi.jpg","True","True",""
"tofu-hijiki-hamburg","tofu-hijiki-hamburg.jpg","True","True",""
